All,Cassava leaves,Spring onions,Banana,Green peas,Paprika,Green bell peppers,Tomato,Red chili,Coriander,Olive oil,Lime,Green plantain,coriander,Cilantro,carrot,Celery,Spinach,Eggplants
January,Cassava leaves,Spring onions,Banana,Green peas,Paprika,Green bell peppers,Tomato,Red chili,Coriander,Olive oil,Lime,Green plantain,coriander,Cilantro,carrot,Celery,,
February,Cassava leaves,Spring onions,Banana,Green peas,Paprika,Green bell peppers,Tomato,Red chili,Coriander,Olive oil,Lime,Green plantain,coriander,Cilantro,carrot,Celery,,
March,Cassava leaves,Spring onions,Banana,Green peas,Paprika,Green bell peppers,Tomato,Red chili,Coriander,Olive oil,Lime,Green plantain,coriander,Cilantro,carrot,Celery,,
April,Cassava leaves,Spring onions,Banana,Green peas,Paprika,Green bell peppers,Tomato,Red chili,Coriander,Olive oil,Lime,Green plantain,coriander,Cilantro,carrot,Celery,Spinach,
May,Cassava leaves,Spring onions,Banana,Green peas,Paprika,Green bell peppers,,Red chili,Coriander,Olive oil,Lime,Green plantain,coriander,Cilantro,,,Spinach,
June,Cassava leaves,Spring onions,Banana,Green peas,Paprika,Green bell peppers,,Red chili,Coriander,Olive oil,Lime,Green plantain,coriander,Cilantro,,,Spinach,
July,Cassava leaves,Spring onions,Banana,Green peas,Paprika,Green bell peppers,Tomato,Red chili,Coriander,Olive oil,Lime,Green plantain,coriander,Cilantro,carrot,Celery,Spinach,
August,Cassava leaves,Spring onions,Banana,Green peas,Paprika,Green bell peppers,Tomato,Red chili,Coriander,Olive oil,Lime,Green plantain,coriander,Cilantro,carrot,Celery,Spinach,
September,Cassava leaves,Spring onions,Banana,Green peas,Paprika,Green bell peppers,Tomato,Red chili,Coriander,Olive oil,Lime,Green plantain,coriander,Cilantro,carrot,Celery,Spinach,Eggplants
October,Cassava leaves,Spring onions,Banana,Green peas,Paprika,Green bell peppers,Tomato,Red chili,Coriander,Olive oil,Lime,Green plantain,coriander,Cilantro,carrot,Celery,Spinach,Eggplants
November,Cassava leaves,Spring onions,Banana,Green peas,Paprika,Green bell peppers,Tomato,Red chili,Coriander,Olive oil,Lime,Green plantain,coriander,Cilantro,carrot,Celery,Spinach,Eggplants
December,Cassava leaves,Spring onions,Banana,Green peas,Paprika,Green bell peppers,Tomato,Red chili,Coriander,Olive oil,Lime,Green plantain,coriander,Cilantro,carrot,Celery,Spinach,Eggplants
